# anchorsX, anchorsY
1.344057100000095124e+04,1.004223634974810431e-01
1.344230500000096617e+04,1.005587684243967328e-01
1.344291700000097080e+04,1.005587684243967328e-01
1.344403900000097929e+04,1.013585158416191873e-01
1.344475300000098468e+04,1.014541618251233041e-01
1.344597700000099394e+04,9.958240137155570382e-02
1.344781300000100782e+04,9.837072179640507508e-02
1.344811900000101014e+04,9.837072179640507508e-02
1.345015900000102556e+04,1.014522384945222011e-01
1.345066900000102942e+04,1.014786829976538907e-01
1.345199500000103944e+04,1.014840457735550899e-01
1.345240300000104435e+04,1.013721803173469466e-01
1.345413700000105564e+04,1.005888022225219225e-01
1.345617700000107288e+04,1.020414995515944168e-01
1.345648300000107156e+04,1.022629458038802203e-01
1.345801300000108313e+04,1.019607635834620663e-01
1.345913500000109161e+04,1.016060713735748994e-01
1.345974700000109806e+04,1.015889951993222129e-01
1.346076700000110577e+04,1.018294253473220057e-01
1.346199100000111684e+04,1.015971650778080271e-01
1.346290900000112197e+04,1.004916636500011451e-01
1.346403100000113045e+04,1.014384015322073729e-01
1.346454100000113431e+04,1.015002318357933475e-01
1.346780500000116081e+04,1.006180418000622578e-01
1.346821300000116207e+04,1.009652328284497136e-01
1.346882500000116852e+04,1.005247923565651125e-01
1.347025300000117568e+04,1.015661178019260646e-01
1.347168100000118829e+04,1.003297344711071432e-01
1.347239500000119369e+04,1.008521714377732803e-01
1.347351700000120218e+04,1.009819940069996702e-01
1.347545500000121683e+04,1.005540111704451012e-01
1.347667900000122609e+04,9.735426801207822112e-02
1.348086100000125771e+04,1.007439437331353604e-01
1.348269700000127159e+04,9.884686707652237669e-02
1.348371700000127930e+04,9.947973541260410335e-02
1.348698100000130398e+04,1.003862584789856627e-01
1.348789900000131274e+04,1.006972347327326073e-01
1.348993900000132635e+04,9.837578130791303777e-02
1.349187700000133918e+04,1.007803881209987790e-01
1.349289700000134872e+04,1.011587121178341431e-01
1.349463100000136183e+04,1.008785840144934831e-01
1.349554900000136877e+04,1.016318385278197345e-01
1.349626300000137417e+04,1.016992235796771449e-01
1.349738500000138447e+04,1.017989821894414726e-01
1.349789500000138833e+04,1.017857087451120857e-01
1.349952700000140067e+04,1.007403288717268613e-01
1.350126100000141196e+04,1.024234069069037273e-01
1.350574900000144589e+04,9.865496878447352347e-02
1.350870700000146826e+04,1.013280853118320446e-01
1.350982900000147674e+04,1.025111409753086122e-01
1.351013500000148088e+04,1.025111409753086122e-01
1.351125700000148754e+04,1.030044583851777024e-01
1.351186900000149217e+04,1.031400777813743785e-01
1.351299100000150065e+04,1.039531435237859291e-01
1.351411300000150914e+04,1.020575136352939727e-01
1.351666300000152842e+04,1.015550804469013968e-01
1.351727500000153123e+04,1.005954567880504025e-01
1.352196700000156852e+04,1.017018714441720040e-01
1.352278300000157651e+04,1.007869417104483578e-01
1.352421100000158367e+04,9.944114174399332207e-02
1.352716900000160786e+04,9.991986272234285038e-02
1.352880100000162020e+04,1.023526211378349149e-01
1.353420700000165925e+04,1.019630036551444074e-01
1.353665500000167958e+04,1.028672316051155167e-01
1.353706300000168449e+04,1.028140846260917340e-01
1.353930700000169963e+04,1.024875208580349195e-01
1.354012300000170580e+04,1.030052728140429530e-01
1.354063300000170966e+04,1.027562120785495969e-01
